Potential applied (V),Fitted WE(1).δ.Current,Corrected WE(1).δ.Current (A)
1.522674561,2.71434E-06,8.52834E-06
1.527709961,2.75687E-06,9.15109E-06
1.532745361,2.79912E-06,9.66426E-06
1.537780762,2.84137E-06,1.01042E-05
1.542816162,2.88334E-06,1.04223E-05
1.547851563,2.92531E-06,1.0652E-05
1.552886963,2.96702E-06,1.07567E-05
1.557922363,3.00873E-06,1.07944E-05
1.562957764,3.05017E-06,1.07407E-05
1.567993164,3.09162E-06,1.05803E-05
1.573028564,3.13283E-06,1.03193E-05
1.578063965,3.17403E-06,9.98515E-06
1.583099365,3.215E-06,9.51999E-06
1.588134766,3.25596E-06,9.00905E-06
1.593170166,3.29671E-06,8.40678E-06
1.598205566,3.33745E-06,7.73432E-06
1.603240967,3.37799E-06,7.00409E-06
1.608276367,3.41852E-06,6.23724E-06
1.613311768,3.45886E-06,5.48279E-06
1.618347168,3.4992E-06,4.7436E-06
1.623382568,3.53935E-06,4.05037E-06
1.628417969,3.57951E-06,3.40291E-06
1.633453369,3.6195E-06,2.85939E-06
1.63848877,3.65948E-06,2.34332E-06
1.64352417,3.69932E-06,1.93728E-06
1.64855957,3.73916E-06,1.58616E-06
1.653594971,3.77886E-06,1.31453E-06
1.658630371,3.81855E-06,1.10698E-06
1.663665771,3.85813E-06,9.30074E-07
1.668701172,3.89771E-06,8.11149E-07
1.673736572,3.93719E-06,6.89276E-07
1.678771973,3.97666E-06,5.91817E-07
1.683807373,4.01605E-06,5.31066E-07
1.688842773,4.05544E-06,4.52004E-07
1.693878174,4.09476E-06,4.00478E-07
1.698913574,4.13408E-06,3.18434E-07
1.703948975,4.17335E-06,2.79167E-07
1.708984375,4.21261E-06,2.27693E-07
1.714019775,4.25185E-06,1.91512E-07
1.719055176,4.29108E-06,1.3397E-07
1.724090576,4.33029E-06,8.86519E-08
1.729125977,4.36951E-06,3.41786E-08
1.734161377,4.40872E-06,1.32746E-08
1.739196777,4.44794E-06,-7.62939E-09
1.744232178,4.49371E-06,-3.8147E-08
1.749267578,4.53949E-06,-3.50952E-08
1.754302979,4.59976E-06,-2.5177E-08
1.759338379,4.66003E-06,-4.57764E-08
1.764373779,4.78516E-06,-7.93457E-08
1.76940918,4.91028E-06,-6.71387E-08
1.77444458,5.06363E-06,-8.62122E-08
1.77947998,5.21698E-06,-8.39233E-08
1.784515381,5.40962E-06,-1.08719E-07
1.789550781,5.60226E-06,-8.7738E-08
1.794586182,5.79491E-06,-6.9809E-08
1.799621582,5.98755E-06,3.38813E-21
